compte;libelle;categorie;text
7;2 genoux de face;examen_complementaire;2 genoux de face
7;2 mains de face;examen_complementaire;2 mains de face
7;2 pieds de face;examen_complementaire;2 pieds de face
7;4 axes / Examen crânien;examen_complementaire;4 axes / Examen crânien
7;abalataion par radio-fréquence frais de salle;examen_complementaire;abalataion par radio-fréquence frais de salle
7;Abdomen sans préparation (ASP):Une incidence au lit de malade;examen_complementaire;Abdomen sans préparation (ASP):Une incidence au lit de malade
7;Abdomen sans préparation: Par incidence supplémentaire (sans dépasser les trois incidences);examen_complementaire;Abdomen sans préparation: Par incidence supplémentaire (sans dépasser les trois incidences)
7;Abdomen sans préparation: Une incidence;examen_complementaire;Abdomen sans préparation: Une incidence
7;Acte de radiologie interventionnelle Par échographie;examen_complementaire;Acte de radiologie interventionnelle Par échographie
7;Age osseux: Par incidence supplémentaire;examen_complementaire;Age osseux: Par incidence supplémentaire
7;Age osseux: Une incidence;examen_complementaire;Age osseux: Une incidence
7;Angiographie médullaire;examen_complementaire;Angiographie médullaire
7;Angiographie transcutanée des malformations des parties molles;examen_complementaire;Angiographie transcutanée des malformations des parties molles
7;Angioplastie de l'artère sous clavière;examen_complementaire;Angioplastie de l'artère sous clavière
7;Angioplastie des carotides ou des vaisceaux intracrâniens;examen_complementaire;Angioplastie des carotides ou des vaisceaux intracrâniens
7;Angioplastie peripherique avec mise en place éventuelle d'un stent fémorale;examen_complementaire;Angioplastie peripherique avec mise en place éventuelle d'un stent fémorale
7;Angioplastie peripherique avec mise en place éventuelle d'un stent iliaque;examen_complementaire;Angioplastie peripherique avec mise en place éventuelle d'un stent iliaque
7;Angioplastie peripherique avec mise en place éventuelle d'un stent poplité;examen_complementaire;Angioplastie peripherique avec mise en place éventuelle d'un stent poplité
7;Angioplastie viscérale;examen_complementaire;Angioplastie viscérale
7;Angioscanner de l'aorte et de ses branches;examen_complementaire;Angioscanner de l'aorte et de ses branches
7;Angioscanner des troncs supra aortiques;examen_complementaire;Angioscanner des troncs supra aortiques
7;Angioscanner des vaisceaux de l'abdomen;examen_complementaire;Angioscanner des vaisceaux de l'abdomen
7;Angioscanner des vaisseaux périphériques (membre supérieur ou inférieur);examen_complementaire;Angioscanner des vaisseaux périphériques (membre supérieur ou inférieur)
7;Angioscanner du polygone de Willis;examen_complementaire;Angioscanner du polygone de Willis
7;Angioscanner thoracique;examen_complementaire;Angioscanner thoracique
7;Arthrographie de l'epaule avec dilataion;examen_complementaire;Arthrographie de l'epaule avec dilataion
7;Articulation inter-apophysaire postérieur comprenant l'acte d'injection de produit de contraste;examen_complementaire;Articulation inter-apophysaire postérieur comprenant l'acte d'injection de produit de contraste
7;Articulation inter-phalangienne comprenant l'acte d'injection de produit de contraste;examen_complementaire;Articulation inter-phalangienne comprenant l'acte d'injection de produit de contraste
7;Articulation métacarpo-phalangienne comprenant l'acte d'injection de produit de contraste;examen_complementaire;Articulation métacarpo-phalangienne comprenant l'acte d'injection de produit de contraste
7;Articulation sacro-iliaque comprenant l'acte d'injection de produit de contraste;examen_complementaire;Articulation sacro-iliaque comprenant l'acte d'injection de produit de contraste
7;Avant-bras F+P;examen_complementaire;Avant-bras F+P
7;Axiales 2 genoux 2 incidences;examen_complementaire;Axiales 2 genoux 2 incidences
7;Bassin,Hanche,Articulation: une incidence;examen_complementaire;Bassin,Hanche,Articulation: une incidence
7;Bassin,Hanche,Articulations sacro-iliaques: Par incidence supplémentaire;examen_complementaire;Bassin,Hanche,Articulations sacro-iliaques: Par incidence supplémentaire
7;Biopsie vertébrale;examen_complementaire;Biopsie vertébrale
7;Cavernographie;examen_complementaire;Cavernographie
7;Cavographie;examen_complementaire;Cavographie
7;Cavum;examen_complementaire;Cavum
7;Cémentoplastie;examen_complementaire;Cémentoplastie
7;Changement de cathéter ou de prothèse biliaire;examen_complementaire;Changement de cathéter ou de prothèse biliaire
7;Changement d'un drain percutané;examen_complementaire;Changement d'un drain percutané
7;Charnière cervico-occipitale: Par incidence supplémentaire;examen_complementaire;Charnière cervico-occipitale: Par incidence supplémentaire
7;Charnière cervico-occipitale: Une incidence;examen_complementaire;Charnière cervico-occipitale: Une incidence
