compte;libelle;text
7;ACEBUTOLOL - ACECOR Comp 400 mg Bt 30;ACEBUTOLOL - ACECOR Comp 400 mg Bt 30
7;ACEBUTOLOL - CARBUTOL 400mg Comp.Pell.Séc. Bt 30;ACEBUTOLOL - CARBUTOL 400mg Comp.Pell.Séc. Bt 30
7;ACEBUTOLOL - CEBUTOL Comp pell 400mg Bt 400;ACEBUTOLOL - CEBUTOL Comp pell 400mg Bt 400
7;ACEBUTOLOL - CEBUTRAL Comp pell 400mg Bt 130;ACEBUTOLOL - CEBUTRAL Comp pell 400mg Bt 130
7;ACEBUTOLOL - CEBUTRAL Comp pell 400mg Bt 30;ACEBUTOLOL - CEBUTRAL Comp pell 400mg Bt 30
7;ACEBUTOLOL - SECTRAL Comp 400mg Bt 30;ACEBUTOLOL - SECTRAL Comp 400mg Bt 30
7;ACEBUTOLOL - SECTRAL Comp 400mg Bt 30;ACEBUTOLOL - SECTRAL Comp 400mg Bt 30
7;ACEBUTOLOL - SECTRAL Comp pell 400mg Bt 30;ACEBUTOLOL - SECTRAL Comp pell 400mg Bt 30
7;ACEBUTOLOL - TENSIOL 400mg Comp. Pell. Bt 30;ACEBUTOLOL - TENSIOL 400mg Comp. Pell. Bt 30
7;ACETYLSALICYLATE DE LYSINE - ACETYLSALICYLATE LYSINE Pdre Inj 0,9gr Bt 50+50;ACETYLSALICYLATE DE LYSINE - ACETYLSALICYLATE LYSINE Pdre Inj 0,9gr Bt 50+50
7;ACETYLSALICYLATE DE LYSINE - ACETYLSALICYLATE LYSINE Pdre Inj 0,9gr Bt 6+6;ACETYLSALICYLATE DE LYSINE - ACETYLSALICYLATE LYSINE Pdre Inj 0,9gr Bt 6+6
7;ACETYLSALICYLATE DE LYSINE - ASPEGIC Pdre Inj 0,5gr Bt 20 Fls;ACETYLSALICYLATE DE LYSINE - ASPEGIC Pdre Inj 0,5gr Bt 20 Fls
7;ACETYLSALICYLATE DE LYSINE - ASPEGIC Pdre/prép inj 0,5gr Bt 20;ACETYLSALICYLATE DE LYSINE - ASPEGIC Pdre/prép inj 0,5gr Bt 20
7;ACETYLSALICYLATE DE LYSINE - DRASPIR Pdre/prép inj 500mg Bt 6 Fl;ACETYLSALICYLATE DE LYSINE - DRASPIR Pdre/prép inj 500mg Bt 6 Fl
7;ACETYLSALICYLATE DE LYSINE - LISINIL Pdre Inj 0,9gr Bt 50;ACETYLSALICYLATE DE LYSINE - LISINIL Pdre Inj 0,9gr Bt 50
7;ACETYLSALICYLATE DE LYSINE - REMIN S Pdre/prép inj 500mg/5ml Bt 6+6;ACETYLSALICYLATE DE LYSINE - REMIN S Pdre/prép inj 500mg/5ml Bt 6+6
7;ACETYLSALICYLIQUE ACIDE - ASPIRINE Comp 500mg Bt 500;ACETYLSALICYLIQUE ACIDE - ASPIRINE Comp 500mg Bt 500
